underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2025-08-20,SPY,2025-08-20,400.000,C,236.5100,236.9300,236.5100,236.9300,2,11,237.3700,16,240.0900,638.7800,638.7900,8,236.5800,20,239.3800,638.0500,638.0500,236.7200,0,
SPY,2025-08-20,SPY,2025-08-20,400.000,P,0.0100,0.0100,0.0100,0.0100,3,0,0.0000,5001,0.0100,638.7800,638.7900,0,0.0000,3780,0.0100,638.0500,638.0500,0.0100,0,
SPY,2025-08-20,SPY,2025-08-20,405.000,C,0.0000,0.0000,0.0000,0.0000,0,10,232.3700,15,234.8500,638.7800,638.7900,8,231.5800,20,234.3800,638.0500,638.0500,0.0000,0,
SPY,2025-08-20,SPY,2025-08-20,405.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5001,0.0100,638.7800,638.7900,0,0.0000,136,0.0100,638.0500,638.0500,0.0000,1,
SPY,2025-08-20,SPY,2025-08-20,410.000,C,0.0000,0.0000,0.0000,0.0000,0,10,227.3700,15,230.0900,638.7800,638.7900,8,226.5800,20,229.3800,638.0500,638.0500,0.0000,0,
SPY,2025-08-20,SPY,2025-08-20,410.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5001,0.0100,638.7800,638.7900,0,0.0000,136,0.0100,638.0500,638.0500,0.0000,0,
SPY,2025-08-20,SPY,2025-08-20,415.000,C,0.0000,0.0000,0.0000,0.0000,0,10,222.3700,15,225.0900,638.7800,638.7900,8,221.5800,24,224.3800,638.0500,638.0500,0.0000,0,
SPY,2025-08-20,SPY,2025-08-20,415.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5001,0.0100,638.7800,638.7900,0,0.0000,136,0.0100,638.0500,638.0500,0.0000,40,
SPY,2025-08-20,SPY,2025-08-20,420.000,C,0.0000,0.0000,0.0000,0.0000,0,10,217.3700,15,220.0900,638.7800,638.7900,8,216.5800,24,219.3800,638.0500,638.0500,0.0000,0,
SPY,2025-08-20,SPY,2025-08-20,420.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,5001,0.0100,638.7800,638.7900,0,0.0000,136,0.0100,638.0500,638.0500,0.0000,85,
